Title,Tipo,Epic,Prioridade,Story Points,Status,Descricao
Gestão de Turmas e Matrículas,Epic,,Alta,,Backlog,Criar e administrar turmas e o vínculo de estudantes.
Atividades e Entregas,Epic,,Alta,,Backlog,Publicar atividades com prazo e receber entregas.
Correção e Notas,Epic,,Alta,,Backlog,Corrigir entregas e publicar notas com auditoria.
Comunicação (Mural),Epic,,Média,,Backlog,Avisos da turma no mural.
Modo Foco (Engajamento Adaptativo),Epic,,Alta,,Backlog,Notificações adaptativas e painel de carga (inovação).
Autenticação e Permissões,Epic,,Alta,,Backlog,Login JWT e autorização por papéis (RBAC).
US01 - Criar turma,Story,Gestão de Turmas e Matrículas,Alta,3,To Do,Professor cria turma com código de convite (RN01).
US02 - Matricular-se na turma,Story,Gestão de Turmas e Matrículas,Alta,2,To Do,Estudante entra na turma via código (RN02).
US03 - Publicar atividade,Story,Atividades e Entregas,Alta,5,To Do,Professor publica atividade com prazo e anexos (RN03).
US04 - Entregar atividade,Story,Atividades e Entregas,Alta,5,To Do,Estudante envia/reenvia entrega até o prazo (RN04).
US05 - Corrigir e lançar nota,Story,Correção e Notas,Alta,5,To Do,Professor corrige e publica a nota (RN05 RN06).
US06 - Consultar nota e feedback,Story,Correção e Notas,Alta,2,To Do,Estudante consulta nota após publicação (RN05).
US07 - Configurar notificações adaptativas,Story,Modo Foco (Engajamento Adaptativo),Alta,5,To Do,Estudante define cadência das notificações (RN07).
US08 - Acompanhar turmas do curso,Story,Gestão de Turmas e Matrículas,Média,3,Backlog,Coordenador vê turmas em modo leitura (RN08).
Painel de carga unificado,Story,Modo Foco (Engajamento Adaptativo),Alta,3,Backlog,Visão de prazos de todas as turmas (read model).
Autenticação JWT,Story,Autenticação e Permissões,Alta,3,To Do,Login stateless via JWT (ADR-002).
Autorização por papéis (RBAC),Story,Autenticação e Permissões,Alta,3,To Do,Controle de acesso por papel (ADR-002).
Postar aviso no mural,Story,Comunicação (Mural),Média,2,Backlog,Professor publica avisos para a turma.
Barramento de eventos (pub-sub),Task,Modo Foco (Engajamento Adaptativo),Alta,5,Backlog,Redis Pub/Sub para eventos do domínio (ADR-003).
Visão do Produto,Task,,Alta,2,Done,Documento docs/visao-produto.md concluído.
Stakeholders,Task,,Alta,1,Done,Documento docs/stakeholders.md concluído.
Regras de Negócio + rastreabilidade,Task,,Alta,3,Done,Documento docs/regras-negocio.md com matriz de rastreabilidade.
User Stories,Task,,Alta,3,Done,Documento docs/user-stories.md com 8 histórias.
Definição do MVP,Task,,Alta,2,Done,Documento docs/mvp.md com priorização.
BPMN - Entrega e Correção,Task,,Alta,3,Done,Modelagem do processo principal (bpmn/).
Diagrama de Casos de Uso,Task,,Alta,2,Done,UML em uml/casos-de-uso.
C4 Contexto e Containers,Task,,Alta,3,Done,Diagramas C4 nível 1 e 2 (c4/).
Arquitetura + ADRs,Task,,Alta,5,Done,Documento docs/arquitetura.md com 4 decisões.
Diário de Sprint,Task,,Média,1,Done,Documento docs/sprint.md.
